0
K86
L95
P70
L91
e
T92
K86
R96
L90
e
R79
L89
K75
L91
P76
e
K86
T93
e
L90
K83
L84
e
K86
L98
e
S87
K86
N88
e
T93
Y85
K86
Y77
K74
K75
e
K86
L91
X76
L98
P70
e
R95
T92
K77
e
